,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
31,32,RC 100 2 relu; NC 80 2 gelu ;RC 100 2 relu ;NC 80 2 gelu ;FL sigmoid,102594.0,0.8988749980926514,0.8954166769981384,0.8913999795913696
32,33,RC 116 2 sigmoid; NC 24 2 swish ;RC 116 2 sigmoid ;NC 24 2 swish ;FL sigmoid,36402.0,0.8207291960716248,0.8214166760444641,0.817300021648407
33,34,RC 28 2 tanh; NC 104 2 tanh ;RC 28 2 tanh ;NC 104 2 tanh ;FL sigmoid,42690.0,0.874916672706604,0.8671666383743286,0.848800003528595
34,35,RC 124 2 gelu; NC 20 2 swish ;RC 124 2 gelu ;NC 20 2 swish ;FL gelu,32538.0,0.8833958506584167,0.8830000162124634,0.878600001335144
35,36,RC 44 2 relu; NC 52 2 gelu ;RC 44 2 relu ;NC 52 2 gelu ;FL tanh,31866.0,0.8868749737739563,0.8852499723434448,0.8805999755859375
36,37,RC 28 2 gelu; NC 116 2 tanh ;RC 28 2 gelu ;NC 116 2 tanh ;FL tanh,47514.0,0.8851666450500488,0.8769166469573975,0.8686000108718872
37,38,RC 124 2 relu; NC 32 2 relu ;RC 124 2 relu ;NC 32 2 relu ;FL gelu,51186.0,0.8888541460037231,0.8814166784286499,0.8669000267982483
38,39,RC 96 2 sigmoid; NC 52 2 gelu ;RC 96 2 sigmoid ;NC 52 2 gelu ;FL gelu,64626.0,0.8522499799728394,0.847000002861023,0.8439000248908997
39,40,RC 104 2 swish; NC 96 2 swish ;RC 104 2 swish ;NC 96 2 swish ;FL sigmoid,127482.0,0.8966666460037231,0.887416660785675,0.8849999904632568
40,41,RC 68 2 tanh; NC 4 2 swish ;RC 68 2 tanh ;NC 4 2 swish ;FL swish,4650.0,0.7913541793823242,0.7950000166893005,0.7924000024795532
41,42,RC 48 2 sigmoid; NC 20 2 swish ;RC 48 2 sigmoid ;NC 20 2 swish ;FL sigmoid,13842.0,0.7966041564941406,0.8015833497047424,0.7986999750137329
