,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
30,31,RC 124 2 tanh; NC 88 2 gelu ;RC 124 2 tanh ;NC 88 2 gelu ;FL swish,138210.0,0.9046875238418579,0.8969166874885559,0.8971999883651733
31,32,RC 84 2 relu; NC 76 2 tanh ;RC 84 2 relu ;NC 76 2 tanh ;FL swish,82842.0,0.8923125267028809,0.8815833330154419,0.8715000152587891
32,33,RC 8 2 sigmoid; NC 20 2 swish ;RC 8 2 sigmoid ;NC 20 2 swish ;FL swish,4002.0,0.7416666746139526,0.7488333582878113,0.7400000095367432
33,34,RC 48 2 relu; NC 48 2 swish ;RC 48 2 relu ;NC 48 2 swish ;FL gelu,31818.0,0.8871250152587891,0.8823333382606506,0.8687999844551086
34,35,RC 32 2 gelu; NC 60 2 gelu ;RC 32 2 gelu ;NC 60 2 gelu ;FL sigmoid,27906.0,0.8676249980926514,0.8615000247955322,0.8557000160217285
35,36,RC 100 2 swish; NC 96 2 gelu ;RC 100 2 swish ;NC 96 2 gelu ;FL gelu,122850.0,0.9129999876022339,0.8973333239555359,0.8867999911308289
36,37,RC 108 2 swish; NC 112 2 tanh ;RC 108 2 swish ;NC 112 2 tanh ;FL swish,153906.0,0.8931041955947876,0.8911666870117188,0.8851000070571899
37,38,RC 52 2 sigmoid; NC 48 2 swish ;RC 52 2 sigmoid ;NC 48 2 swish ;FL gelu,34146.0,0.8378124833106995,0.8379999995231628,0.8342000246047974
38,39,RC 36 2 sigmoid; NC 24 2 swish ;RC 36 2 sigmoid ;NC 24 2 swish ;FL gelu,12882.0,0.8174166679382324,0.8217499852180481,0.8169999718666077
39,40,RC 92 2 relu; NC 84 2 sigmoid ;RC 92 2 relu ;NC 84 2 sigmoid ;FL gelu,99546.0,0.8401874899864197,0.8416666388511658,0.8356999754905701
40,41,RC 104 2 relu; NC 92 2 swish ;RC 104 2 relu ;NC 92 2 swish ;FL sigmoid,122226.0,0.9012500047683716,0.8991666436195374,0.88919997215271
41,42,RC 116 2 tanh; NC 32 2 relu ;RC 116 2 tanh ;NC 32 2 relu ;FL gelu,48066.0,0.8835625052452087,0.8825833201408386,0.8762000203132629
42,43,RC 44 2 relu; NC 48 2 relu ;RC 44 2 relu ;NC 48 2 relu ;FL swish,29490.0,0.8815208077430725,0.8758333325386047,0.8727999925613403
43,44,RC 80 2 sigmoid; NC 84 2 swish ;RC 80 2 sigmoid ;NC 84 2 swish ;FL swish,87378.0,0.8569791913032532,0.8509166836738586,0.8501999974250793
44,45,RC 96 2 sigmoid; NC 120 2 sigmoid ;RC 96 2 sigmoid ;NC 120 2 sigmoid ;FL tanh,147450.0,0.8288541436195374,0.831416666507721,0.8233000040054321
45,46,RC 116 2 tanh; NC 68 2 relu ;RC 116 2 tanh ;NC 68 2 relu ;FL swish,100554.0,0.8929791450500488,0.8948333263397217,0.8787999749183655
46,47,RC 104 2 relu; NC 12 2 sigmoid ;RC 104 2 relu ;NC 12 2 sigmoid ;FL tanh,17106.0,0.8131041526794434,0.8141666650772095,0.8105000257492065
47,48,RC 100 2 relu; NC 40 2 relu ;RC 100 2 relu ;NC 40 2 relu ;FL relu,51954.0,0.8892708420753479,0.8864166736602783,0.8799999952316284
48,49,RC 36 2 tanh; NC 64 2 tanh ;RC 36 2 tanh ;NC 64 2 tanh ;FL sigmoid,32802.0,0.8758749961853027,0.8644166588783264,0.8562999963760376
49,50,RC 108 2 tanh; NC 84 2 tanh ;RC 108 2 tanh ;NC 84 2 tanh ;FL tanh,115770.0,0.9018541574478149,0.890916645526886,0.8848999738693237
50,51,RC 120 2 swish; NC 56 2 relu ;RC 120 2 swish ;NC 56 2 relu ;FL tanh,85770.0,0.903166651725769,0.8944166898727417,0.8855999708175659
51,52,RC 4 2 sigmoid; NC 56 2 sigmoid ;RC 4 2 sigmoid ;NC 56 2 sigmoid ;FL relu,7122.0,0.6347708106040955,0.6424999833106995,0.6299999952316284
52,53,RC 36 2 relu; NC 96 2 sigmoid ;RC 36 2 relu ;NC 96 2 sigmoid ;FL tanh,48738.0,0.8258958458900452,0.8236666917800903,0.8073999881744385
53,54,RC 36 2 tanh; NC 116 2 gelu ;RC 36 2 tanh ;NC 116 2 gelu ;FL swish,58698.0,0.8860833048820496,0.8701666593551636,0.8646000027656555
54,55,RC 56 2 relu; NC 88 2 tanh ;RC 56 2 relu ;NC 88 2 tanh ;FL gelu,65994.0,0.8901041746139526,0.8830833435058594,0.8787999749183655
55,56,RC 40 2 swish; NC 56 2 swish ;RC 40 2 swish ;NC 56 2 swish ;FL relu,31530.0,0.8837083578109741,0.8790000081062317,0.8738999962806702
56,57,RC 116 2 swish; NC 96 2 sigmoid ;RC 116 2 swish ;NC 96 2 sigmoid ;FL tanh,141378.0,0.8712708353996277,0.8679166436195374,0.8639000058174133
57,58,RC 100 2 sigmoid; NC 104 2 relu ;RC 100 2 sigmoid ;NC 104 2 relu ;FL relu,132978.0,0.8480208516120911,0.846916675567627,0.8325999975204468
58,59,RC 20 2 swish; NC 48 2 gelu ;RC 20 2 swish ;NC 48 2 gelu ;FL tanh,15522.0,0.8646249771118164,0.859250009059906,0.8474000096321106
59,60,RC 96 2 relu; NC 120 2 swish ;RC 96 2 relu ;NC 120 2 swish ;FL gelu,147450.0,0.9151041507720947,0.9012500047683716,0.8970999717712402
60,61,RC 116 2 sigmoid; NC 12 2 relu ;RC 116 2 sigmoid ;NC 12 2 relu ;FL tanh,18906.0,0.10139583051204681,0.10300000011920929,0.10000000149011612
61,62,RC 92 2 tanh; NC 88 2 tanh ;RC 92 2 tanh ;NC 88 2 tanh ;FL tanh,104226.0,0.8989791870117188,0.8861666917800903,0.881600022315979
62,63,RC 32 2 relu; NC 48 2 tanh ;RC 32 2 relu ;NC 48 2 tanh ;FL sigmoid,22506.0,0.8646041750907898,0.8644166588783264,0.8632000088691711
63,64,RC 96 2 swish; NC 124 2 gelu ;RC 96 2 swish ;NC 124 2 gelu ;FL swish,152322.0,0.9164583086967468,0.9045000076293945,0.902400016784668
64,65,RC 72 2 swish; NC 48 2 tanh ;RC 72 2 swish ;NC 48 2 tanh ;FL sigmoid,45786.0,0.8839374780654907,0.8785833120346069,0.8658000230789185
65,66,RC 52 2 sigmoid; NC 120 2 tanh ;RC 52 2 sigmoid ;NC 120 2 tanh ;FL relu,83826.0,0.8412291407585144,0.8453333377838135,0.8349000215530396
66,67,RC 24 2 sigmoid; NC 120 2 tanh ;RC 24 2 sigmoid ;NC 120 2 tanh ;FL sigmoid,43338.0,0.8172500133514404,0.8192499876022339,0.8036999702453613
67,68,RC 56 2 relu; NC 16 2 sigmoid ;RC 56 2 relu ;NC 16 2 sigmoid ;FL swish,12858.0,0.7836250066757202,0.7854166626930237,0.7767999768257141
68,69,RC 92 2 tanh; NC 24 2 tanh ;RC 92 2 tanh ;NC 24 2 tanh ;FL sigmoid,29346.0,0.8585833311080933,0.8581666946411133,0.8518000245094299
69,70,RC 56 2 swish; NC 96 2 gelu ;RC 56 2 swish ;NC 96 2 gelu ;FL relu,71898.0,0.8969791531562805,0.8776666522026062,0.8736000061035156
70,71,RC 108 2 gelu; NC 84 2 gelu ;RC 108 2 gelu ;NC 84 2 gelu ;FL sigmoid,115770.0,0.8975833058357239,0.8845833539962769,0.8736000061035156
71,72,RC 116 2 sigmoid; NC 92 2 sigmoid ;RC 116 2 sigmoid ;NC 92 2 sigmoid ;FL sigmoid,135546.0,0.8087499737739563,0.8146666884422302,0.807200014591217
72,73,RC 72 2 swish; NC 16 2 swish ;RC 72 2 swish ;NC 16 2 swish ;FL swish,16026.0,0.8611458539962769,0.8551666736602783,0.8543999791145325
73,74,RC 16 2 sigmoid; NC 108 2 swish ;RC 16 2 sigmoid ;NC 108 2 swish ;FL sigmoid,28674.0,0.8054375052452087,0.8082500100135803,0.8004999756813049
74,75,RC 40 2 swish; NC 104 2 swish ;RC 40 2 swish ;NC 104 2 swish ;FL sigmoid,57738.0,0.8791041374206543,0.8821666836738586,0.8781999945640564
75,76,RC 120 2 tanh; NC 36 2 gelu ;RC 120 2 tanh ;NC 36 2 gelu ;FL gelu,55650.0,0.8841041922569275,0.8770833611488342,0.8722000122070312
76,77,RC 16 2 relu; NC 16 2 relu ;RC 16 2 relu ;NC 16 2 relu ;FL sigmoid,4938.0,0.815625011920929,0.812583327293396,0.8087000250816345
77,78,RC 88 2 gelu; NC 100 2 sigmoid ;RC 88 2 gelu ;NC 100 2 sigmoid ;FL relu,113442.0,0.8567291498184204,0.8634999990463257,0.8565999865531921
78,79,RC 40 2 sigmoid; NC 60 2 sigmoid ;RC 40 2 sigmoid ;NC 60 2 sigmoid ;FL swish,33714.0,0.7875833511352539,0.7896666526794434,0.7846999764442444
79,80,RC 44 2 swish; NC 32 2 relu ;RC 44 2 swish ;NC 32 2 relu ;FL sigmoid,19986.0,0.8510208129882812,0.8547499775886536,0.843500018119812
80,81,RC 100 2 gelu; NC 64 2 swish ;RC 100 2 gelu ;NC 64 2 swish ;FL gelu,82338.0,0.9026666879653931,0.8964999914169312,0.8949999809265137
81,82,RC 80 2 swish; NC 100 2 gelu ;RC 80 2 swish ;NC 100 2 gelu ;FL tanh,103794.0,0.9062708616256714,0.8970833420753479,0.8952000141143799
82,83,RC 96 2 sigmoid; NC 120 2 swish ;RC 96 2 sigmoid ;NC 120 2 swish ;FL swish,147450.0,0.8774374723434448,0.8819166421890259,0.8816999793052673
83,84,RC 112 2 swish; NC 80 2 tanh ;RC 112 2 swish ;NC 80 2 tanh ;FL gelu,114186.0,0.8945416808128357,0.8878333568572998,0.878000020980835
84,85,RC 44 2 tanh; NC 52 2 swish ;RC 44 2 tanh ;NC 52 2 swish ;FL tanh,31866.0,0.8821458220481873,0.8845000267028809,0.8766000270843506
85,86,RC 28 2 tanh; NC 72 2 relu ;RC 28 2 tanh ;NC 72 2 relu ;FL sigmoid,29826.0,0.8545833230018616,0.8551666736602783,0.8504999876022339
86,87,RC 44 2 gelu; NC 76 2 relu ;RC 44 2 gelu ;NC 76 2 relu ;FL tanh,46122.0,0.8938958048820496,0.8843333125114441,0.8809000253677368
87,88,RC 80 2 tanh; NC 16 2 tanh ;RC 80 2 tanh ;NC 16 2 tanh ;FL tanh,17610.0,0.8678541779518127,0.8629999756813049,0.8586999773979187
88,89,RC 72 2 sigmoid; NC 40 2 tanh ;RC 72 2 sigmoid ;NC 40 2 tanh ;FL gelu,38346.0,0.8324375152587891,0.8332499861717224,0.8237000107765198
89,90,RC 40 2 tanh; NC 20 2 gelu ;RC 40 2 tanh ;NC 20 2 gelu ;FL tanh,11874.0,0.8521666526794434,0.8517500162124634,0.8393999934196472
90,91,RC 12 2 sigmoid; NC 92 2 swish ;RC 12 2 sigmoid ;NC 92 2 swish ;FL tanh,20106.0,0.796875,0.8032500147819519,0.7960000038146973
91,92,RC 12 2 tanh; NC 8 2 gelu ;RC 12 2 tanh ;NC 8 2 gelu ;FL relu,2466.0,0.8149791955947876,0.8120833039283752,0.8084999918937683
92,93,RC 56 2 relu; NC 120 2 relu ;RC 56 2 relu ;NC 120 2 relu ;FL gelu,89610.0,0.9028124809265137,0.8913333415985107,0.8870000243186951
93,94,RC 88 2 relu; NC 44 2 relu ;RC 88 2 relu ;NC 44 2 relu ;FL sigmoid,50610.0,0.8777083158493042,0.8778333067893982,0.8715000152587891
94,95,RC 16 2 sigmoid; NC 108 2 sigmoid ;RC 16 2 sigmoid ;NC 108 2 sigmoid ;FL relu,28674.0,0.7583125233650208,0.7661666870117188,0.7601000070571899
95,96,RC 112 2 relu; NC 56 2 gelu ;RC 112 2 relu ;NC 56 2 gelu ;FL sigmoid,80346.0,0.8891249895095825,0.8823333382606506,0.8730999827384949
96,97,RC 56 2 gelu; NC 84 2 swish ;RC 56 2 gelu ;NC 84 2 swish ;FL gelu,63042.0,0.9009374976158142,0.8932499885559082,0.8848000168800354
97,98,RC 72 2 relu; NC 56 2 gelu ;RC 72 2 relu ;NC 56 2 gelu ;FL relu,53226.0,0.8924583196640015,0.8920000195503235,0.8855999708175659
98,99,RC 16 2 gelu; NC 64 2 sigmoid ;RC 16 2 gelu ;NC 64 2 sigmoid ;FL relu,17322.0,0.8001041412353516,0.8065833449363708,0.8029000163078308
99,100,RC 120 2 gelu; NC 96 2 gelu ;RC 120 2 gelu ;NC 96 2 gelu ;FL relu,146010.0,0.9150000214576721,0.8989999890327454,0.890500009059906
